Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N),Data Set 4:Time(s),Data Set 4:Force G(N),Data Set 5:Time(s),Data Set 5:Force G(N),,,
,,,,4.82,0.718673706,4.82,0.002075195,4.82,-0.014541626,,,
,,,,4.84,0.718673706,4.84,-0.00415802,4.84,-0.014541626,,,
,,,,4.86,0.724906921,4.86,-0.00415802,4.86,-0.008308411,,,
,,,,4.88,0.681289673,4.88,-0.00415802,4.88,-0.012466431,,,
,,,,4.9,0.569122314,4.9,-0.008308411,4.9,-0.010391235,,,
,,,,4.92,0.531738281,4.92,-0.012466431,4.92,-0.012466431,,,
,,,,4.94,0.556663513,4.94,-0.012466431,4.94,-0.014541626,,,
,,,,4.96,0.542121887,4.96,-0.008308411,4.96,-0.012466431,,,
,,,,4.98,0.51096344,4.98,-0.020774841,4.98,-0.014541626,,,
,,,,5,0.550430298,5,-0.022850037,5,-0.016616821,,,
,,,,5.02,0.631439209,5.02,-0.014541626,5.02,-0.012466431,,,
,,,,5.04,0.70413208,5.04,-0.018699646,5.04,-0.018699646,,,
,,,,5.06,0.741523743,5.06,-0.016616821,5.06,-0.012466431,,,
,,,,5.08,0.737365723,5.08,-0.014541626,5.08,-0.00415802,,,
,,,,5.1,0.712440491,5.1,-0.018699646,5.1,-0.012466431,,,
,,,,5.12,0.710365295,5.12,-0.014541626,5.12,-0.012466431,,,
,,,,5.14,0.699981689,5.14,-0.010391235,5.14,-0.012466431,,,
,,,,5.16,0.697906494,5.16,-0.010391235,5.16,-0.014541626,,,
,,,,5.18,0.741523743,5.18,-0.020774841,5.18,-0.014541626,,,
,,,,5.2,0.795524597,5.2,-0.022850037,5.2,-0.010391235,,,
,,,,5.22,0.855766296,5.22,-0.020774841,5.22,-0.010391235,,,
,,,,5.24,0.891075134,5.24,-0.020774841,5.24,-0.014541626,,,
,,,,5.26,0.903533936,5.26,-0.018699646,5.26,-0.012466431,,,
,,,,5.28,0.90145874,5.28,-0.014541626,5.28,-0.012466431,,,
,,,,5.3,0.886917114,5.3,-0.018699646,5.3,-0.008308411,,,
,,,,5.32,0.89315033,5.32,-0.016616821,5.32,-0.018699646,,,
,,,,5.34,0.874458313,5.34,-0.018699646,5.34,-0.016616821,,,
,,,,5.36,0.857841492,5.36,-0.014541626,5.36,-0.014541626,,,
,,,,5.38,0.834991455,5.38,-0.020774841,5.38,-0.008308411,,,
,,,,5.4,0.812141418,5.4,-0.016616821,5.4,-0.012466431,,,
,,,,5.42,0.803833008,5.42,-0.018699646,5.42,-0.014541626,,,
,,,,5.44,0.820449829,5.44,-0.014541626,5.44,-0.014541626,,,
,,,,5.46,0.864074707,5.46,-0.022850037,5.46,-0.012466431,,,
,,,,5.48,0.888999939,5.48,-0.022850037,5.48,-0.010391235,,,
,,,,5.5,0.89730835,5.5,-0.022850037,5.5,-0.014541626,,,
,,,,5.52,0.880691528,5.52,-0.024925232,5.52,-0.012466431,,,
,,,,5.54,0.849533081,5.54,-0.022850037,5.54,-0.012466431,,,
,,,,5.56,0.820449829,5.56,-0.018699646,5.56,-0.014541626,,,
,,,,5.58,0.803833008,5.58,-0.020774841,5.58,-0.012466431,,,
,,,,5.6,0.805915833,5.6,-0.018699646,5.6,-0.022850037,,,
,,,,5.62,0.793449402,5.62,-0.018699646,5.62,-0.014541626,,,
,,,,5.64,0.726982117,5.64,-0.012466431,5.64,-0.010391235,,,
,,,,5.66,0.6355896,5.66,-0.022850037,5.66,-0.00415802,,,
,,,,5.68,0.535888672,5.68,-0.024925232,5.68,-0.010391235,,,
,,,,5.7,0.459037781,5.7,-0.020774841,5.7,-0.010391235,,,
,,,,5.72,0.413337708,5.72,-0.016616821,5.72,-0.014541626,,,
,,,,5.74,0.388412476,5.74,-0.018699646,5.74,-0.018699646,,,
,,,,5.76,0.369720459,5.76,-0.018699646,5.76,-0.014541626,,,
,,,,5.78,0.361412048,5.78,-0.020774841,5.78,-0.010391235,,,
,,,,5.8,0.340644836,5.8,-0.014541626,5.8,-0.014541626,,,
,,,,5.82,0.3177948,5.82,-0.012466431,5.82,-0.002082825,,,
,,,,5.84,0.297019958,5.84,-0.014541626,5.84,0.035308838,,,
,,,,5.86,0.263786316,5.86,-0.016616821,5.86,0.103851318,,,
,,,,5.88,0.195243835,5.88,-0.016616821,5.88,0.164085388,,,
