Time,S1_Pre,S1_T1,S1_T2,S1_T3,S1_T4,S1_T5,S1_T5_2
5.24,0.656364441,-0.022850037,0.004150391,0.936775208,-0.0311584,-0.047775269,0.332336426
5.26,0.606513977,-0.024925232,0.004150391,0.961700439,-0.0270004,-0.041542053,0.313644409
5.28,0.585746765,-0.027000427,0.002075195,0.978317261,-0.0270004,-0.043624878,0.247177124
5.3,0.600280762,-0.031158447,0.012458801,0.967933655,-0.0249252,-0.041542053,0.180709839
5.32,0.637672424,-0.029075623,0.006225586,0.949241638,-0.0249252,-0.039466858,0.114242554
5.34,0.714523315,-0.029075623,0.004150391,0.955467224,-0.018692,-0.043624878,0.062316895
5.36,0.807991028,-0.029075623,0.008308411,0.986625671,-0.018692,-0.037391663,0.027000427
5.38,0.878616333,-0.027000427,0.002075195,1.009475708,-0.0270004,-0.037391663,0
5.4,0.928466797,-0.027000427,0.002075195,1.007400513,-0.0290833,-0.039466858,-0.020767212
5.42,0.967933655,-0.027000427,5.55E-17,1.007400513,-0.0270004,-0.043624878,-0.014541626
5.44,0.992858887,-0.027000427,-0.006233215,1.021934509,-0.0270004,-0.037391663,-0.022850037
5.46,1.001167297,-0.033233643,-0.002082825,1.021934509,-0.0290833,-0.043624878,-0.014541626
5.48,0.955467224,-0.027000427,-0.00415802,1.044784546,-0.0311584,-0.033233643,-0.016616821
5.5,0.843307495,-0.020767212,0.002075195,1.092559814,-0.0270004,-0.039466858,-0.020767212
